nama;tanggal;ulasan;rating;sumber;Unnamed: 5;sentimen
goni gaus abdul razak;10/04/2026 16:51;jaringan sring putus nyambung;5;Google Play Store;;Netral
Pilun Apil;10/04/2026 00:36;bagus;5;Google Play Store;;Positif
Ryous SL.Tx.;09/04/2026 15:18;tolong di tambahkan pemulihan akun email berdasarkan code KIT milik pengguna... terima kasih...🙏🙏🙏;3;Google Play Store;;Positif
WEMFRIED M D;08/04/2026 13:35;Nice;5;Google Play Store;;Netral
Ruslan;07/04/2026 16:34;tolong d jawab. kenapa sekarang starling makin mahal bayaran. makin lemot anj;3;Google Play Store;;Negatif
Poco Boss;05/04/2026 01:25;Lemot sekali;1;Google Play Store;;Negatif
Abah Akbar;04/04/2026 07:09;kurang ngerti;3;Google Play Store;;Negatif
joni correia;03/04/2026 14:55;ok;5;Google Play Store;;Netral
bastiar pramana;02/04/2026 09:53;LAYANAN NOC YANG SANGAT BURUK SEMUA AKSES PENGADUAN DICOBA TAPI TIDAK ADA HASILNYA;1;Google Play Store;;Negatif
Masjidi Said;02/04/2026 09:09;josss;5;Google Play Store;;Netral
Agus Raja Timur;01/04/2026 08:23;ok sih tp gak lengkap data usage tdk ada jadi sulit lihat data pengeluaran;4;Google Play Store;;Negatif
Starlink;30/03/2026 23:23;ok banget;5;Google Play Store;;Netral
Dafa Dafa;24/03/2026 14:23;sangat bagus;5;Google Play Store;;Positif
Nopi Yarni;21/03/2026 13:48;baik;5;Google Play Store;;Positif
Agus Matuan. SE. MM;20/03/2026 11:20;sangat membantu;5;Google Play Store;;Positif
Akunku Akundia;20/03/2026 10:53;sangat bagus;5;Google Play Store;;Positif
Jhon Hendri1;19/03/2026 22:08;keren;5;Google Play Store;;Netral
Masri Kasehung;18/03/2026 02:54;sgt baik dan bermanfaat;5;Google Play Store;;Positif
Mat Gaming;17/03/2026 14:21;bagus;5;Google Play Store;;Positif
Yusak Mailani;14/03/2026 00:39;saya tertarik;5;Google Play Store;;Netral
Rius Enumbi;12/03/2026 08:15;bagus sekali;5;Google Play Store;;Positif
Patah Abdul;09/03/2026 20:03;👍👍👍;5;Google Play Store;;Netral
imam abdul aziz;06/03/2026 14:03;Lemot, saya pakai gen 2. Kecepatan rata2 100 mbps. Tidak sebanding dengan harganya. Paket residential;1;Google Play Store;;Netral
Narul Narullah;06/03/2026 03:54;good;5;Google Play Store;;Netral
Jainudin Hayat;05/03/2026 19:27;saya sangat berharap ada peningkatan layanan kecepatan pada paket Residensial;5;Google Play Store;;Positif
Delsaromurdikai123 murdi;05/03/2026 10:05;starlink paling ok untuk wifi dalam pelosok, biar pun gak ada akses jaringan tower, wifi starlink tetap bisa di pakai untuk jualan wifi voucheran, dan paling lancar sosmed dan ngegame;5;Google Play Store;;Positif
Pansur Kalteng;04/03/2026 15:11;produk nya sangat bagussss;5;Google Play Store;;Positif
Karno raja;04/03/2026 14:23;mantap;5;Google Play Store;;Netral
Anies Zaeful;02/03/2026 21:05;cukup puas;5;Google Play Store;;Netral
Arnoldus Hiwa;02/03/2026 16:54;mohon lebih di perbaiki jaringannya kadang jaringannya lari jauh dari titik roter;5;Google Play Store;;Netral
Ulagay Can;01/03/2026 07:36;good banget;5;Google Play Store;;Netral
Gles 90;28/02/2026 08:04;semoga anda cari di tmukan;4;Google Play Store;;Netral
Moch Nurhuda;27/02/2026 13:56;okee;5;Google Play Store;;Netral
Rein Samosir;26/02/2026 10:50;mohon ditambahkan fitur untuk membatasi pengguna;5;Google Play Store;;Negatif
Alexandro Jr;25/02/2026 13:09;good;5;Google Play Store;;Netral
Ahmad Efendi;24/02/2026 09:56;udah di update beberapa kali gagal masuk tapi seharusnya tidak tersedia di Indonesia kalau akunku tidak di temukan untuk login mohon perbaiki aplikasinya karena aku juga ingin aplikasi ini;1;Google Play Store;;Negatif
Blasius Gare;23/02/2026 11:29;untuk wifi starlink bagus kecepatan mencapai 240 mbs;5;Google Play Store;;Positif
Syamsuri Pode;21/02/2026 15:52;terbaik;5;Google Play Store;;Positif
Miko Alfikri;20/02/2026 16:37;gagal login;5;Google Play Store;;Negatif
Mercia de Almeida Carolino;20/02/2026 15:04;verry good😘😁;5;Google Play Store;;Netral
Novendi Arifin;20/02/2026 08:27;mantap;5;Google Play Store;;Netral
Ahmad Muhajirin;18/02/2026 04:16;hebat mantap josjis darderdor jospol mantap jempol, salam hormat Grak. 🫡;5;Google Play Store;;Positif
Hendri Saputra;18/02/2026 02:22;masih nge-bug. terkadang ada menu yg tidak bisa di klik (no respon). harus close app dulu. dan satu lagi, client yg tersambung ke wifi bisa reboot perangkat starlink tanpa login akun. tolong di fix;2;Google Play Store;;Negatif
abdulwafi yazid;16/02/2026 17:52;sejauh ini masih mantap.. namun ketika cuaca mendung koneksi sering drop;5;Google Play Store;;Negatif
Riki Bombes;16/02/2026 10:58;aplikasi ny diperbaiki lagi, tidak bisa jeda perangkat ilegal masuk, perangkat yg dijeda juga tidak bisa dibuka lagi;1;Google Play Store;;Netral
Nasrah Nasrah;13/02/2026 14:40;good joob,, starlink sangat membantu kami yg hidup di pelosok pulau borneo yg sangat susah jaringan internet, dgn ada nya starlink kami bisa menjangkau dunia yg luas dgn kekuatan sinyal internet yg kuat dan stabil;5;Google Play Store;;Positif
Tri Bagas Bantara;13/02/2026 00:14;terlepas dari jasa pengiriman yang lama dan tidak responsif, semuanya sangat hebat, internet sangat lancar, cepat, dan bisa diandalkan, terima kasih Starlink atas layanannya yang memuaskan, saran saya hanya satu, ganti ekspedisi pengiriman. sekali lagi terima kasih banyak ya!;5;Google Play Store;;Positif
erik setiono;11/02/2026 12:31;jaringan lancar walaupun cuaca hujan;5;Google Play Store;;Positif
Haerudin Sadek;10/02/2026 05:24;sangat membantu dalam proses urusan pribadi;5;Google Play Store;;Positif
Purnama Irawan;09/02/2026 15:01;kualitasnya makin buruk. youtube dan nonton streaming buffering, main game online lag.;1;Google Play Store;;Negatif
Helon Awang;09/02/2026 13:14;Bntu bagusin jringan di wilayah Kaltim (Kutai Timur) Udah bnyak yg pakai Starlink malah kecewa berat Krna hilang timbul signal.. udah 4 Bulan belakangan ini..;2;Google Play Store;;Negatif
Florianus Sunardi;09/02/2026 04:42;bagus;3;Google Play Store;;Positif
Timotius Bunawan;07/02/2026 04:27;WiFi berubah bagaimana untuk mengembalikannya mohon bantuannya;5;Google Play Store;;Positif
Darwis Abdul Samad;07/02/2026 04:00;mantap, mudah dan cepat dalam penggunaannya;5;Google Play Store;;Positif
Aris Bani;06/02/2026 02:51;Pekerjaan dimudahkan dengan jaringan Starlink;5;Google Play Store;;Positif
Taminus T Wakerkwa;05/02/2026 14:13;sangat bagus;5;Google Play Store;;Positif
Yudi Pata123;05/02/2026 03:17;cara kita kaitkan email itu gmna ya. soalnya punya saya tidak bisa masuk ke email;2;Google Play Store;;Negatif
Herma Wan;04/02/2026 06:23;untuk Imail Verifikasi tidak dikirim real-time. mohon bantuannya;5;Google Play Store;;Netral
Herman Mirin888;04/02/2026 01:27;apk starlink yang sangat membantu;5;Google Play Store;;Positif
Edwin Sut;02/02/2026 15:25;sinyalnya sampah makin kesini... dulu awal hujan badai normal, sekarang cerah aja ga ada jaringan 🤣;1;Google Play Store;;Negatif
Naila Mirza;31/01/2026 21:26;Sangat membatu buat kami di desa yg gak ada sinyal Telkomsel dan lain²;5;Google Play Store;;Negatif
Yupiter Yupiter;31/01/2026 01:03;terbaik;5;Google Play Store;;Positif
ZAINUDDIN S.Pd.I;29/01/2026 03:22;Luar biasa!;5;Google Play Store;;Negatif
Benny Nathanael;27/01/2026 10:48;Super;5;Google Play Store;;Positif
R4m4 HotSpot;26/01/2026 06:19;cukup memuaskan dan semoga tetap lancar dan aman jaringan starlink;5;Google Play Store;;Positif
Jhosafat dean anderson;26/01/2026 02:36;👍;5;Google Play Store;;Netral
Arin Hasan;24/01/2026 02:37;apk yg Bagus;5;Google Play Store;;Positif
Center Account;23/01/2026 16:25;Tolong perbaiki masalah login di aplikasi Starlink, Saya sudah mencoba berkali-kali tapi gagal terus, sedangkan di website bisa login;1;Google Play Store;;Negatif
Ines Tiwery;23/01/2026 13:09;Sangat baik;5;Google Play Store;;Positif
petrusdaniel ngongo;23/01/2026 01:14;mantap sekali;5;Google Play Store;;Netral
Sujarno Kuncung;22/01/2026 11:00;aku mau coba dulu;4;Google Play Store;;Netral
Dor Dar;18/01/2026 18:55;Di indo speed rata2 hanya sekitar 100Mbps kondisi langit clear dan speed jauh dari klaim di website, dengan perbandingan optik jelas menang di optik namun bila hanya ada telkom, mungkin lebih proper ke starlink;3;Google Play Store;;Netral
Eugene Takesi;14/01/2026 12:05;saya puas, pokonya mantap;5;Google Play Store;;Netral
saumantri 8181;13/01/2026 14:28;457 Mbps gila starlink;5;Google Play Store;;Negatif
Gerson Popoko;13/01/2026 11:04;please use Starlink;5;Google Play Store;;Netral
Saiful Sport91;13/01/2026 03:28;bagus;5;Google Play Store;;Positif
Yoga Pangestu;13/01/2026 02:54;"akun saya bermasalah mengapa saya tidak bisa mengubah peran saya sedangkan saya admin tiba"" terkunci di hanya baca??? administrasi susah di hubungin wa tidak ada tanggapan apakah seburuk ini tanggung jawab di Indonesia??? saya user Starlink ada 10 unit 8 di antaran terkunci hanya baca biaya yg saya keluarkan lebih dari 30 jt";1;Google Play Store;;Negatif
Farida;13/01/2026 00:11;kurang mantap;1;Google Play Store;;Negatif
saiful bahri;12/01/2026 15:33;mantap jaringan cepat;5;Google Play Store;;Positif
TenČrypT;12/01/2026 14:01;Keren sih make Starlink serasa punya satelit internet pribadi👍😎;5;Google Play Store;;Netral
Atn Mondo;11/01/2026 10:27;Luar biasa;5;Google Play Store;;Negatif
